,Report_Date,France_st martin_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
64,2020-03-26,11,71.25796749497619,19.69790802123686,True,65,10.509563755575753,38.685487560049594
65,2020-03-27,11,71.25796749497619,19.69790802123686,True,66,11.80042471413132,38.685487560049594
66,2020-03-28,11,71.25796749497619,19.69790802123686,True,67,13.177508942204746,38.685487560049594
67,2020-03-29,11,71.25796749497619,19.69790802123686,True,68,14.63009703675389,38.685487560049594
68,2020-03-30,15,71.25796749497619,19.69790802123686,True,69,16.14421034243852,38.685487560049594
69,2020-03-31,15,71.25796749497619,19.69790802123686,True,70,17.70301153539092,38.685487560049594
70,2020-04-01,15,71.25796749497619,19.69790802123686,True,71,19.287472919949202,38.685487560049594
71,2020-04-02,22,71.25796749497619,19.69790802123686,True,72,20.877265751163034,38.685487560049594
72,2020-04-03,22,71.25796749497619,19.69790802123686,True,73,22.45178700104658,38.685487560049594
73,2020-04-04,24,71.25796749497619,19.69790802123686,True,74,23.991215667427163,38.685487560049594
74,2020-04-05,32,71.25796749497619,19.69790802123686,True,75,25.47748536979048,38.685487560049594
75,2020-04-06,32,71.25796749497619,19.69790802123686,True,76,26.895075034012795,38.685487560049594
76,2020-04-07,32,71.25796749497619,19.69790802123686,True,77,28.231550903649243,38.685487560049594
77,2020-04-08,32,71.25796749497619,19.69790802123686,True,78,29.47783290254344,38.685487560049594
78,2020-04-09,32,71.25796749497619,19.69790802123686,True,79,30.628197291691556,38.685487560049594
79,2020-04-10,32,71.25796749497619,19.69790802123686,True,80,31.680058049549803,38.685487560049594
80,2020-04-11,32,71.25796749497619,19.69790802123686,True,81,32.63358734951068,38.685487560049594
81,2020-04-12,32,71.25796749497619,19.69790802123686,True,82,33.49124055739727,38.685487560049594
82,2020-04-13,32,71.25796749497619,19.69790802123686,True,83,34.25724581520033,38.685487560049594
83,2020-04-14,32,71.25796749497619,19.69790802123686,True,84,34.93710638855665,38.685487560049594
84,2020-04-15,35,71.25796749497619,19.69790802123686,True,85,35.5371494367525,38.685487560049594
85,2020-04-16,35,71.25796749497619,19.69790802123686,True,86,36.064140770802304,38.685487560049594
