,Report_Date,Paraguay_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
101,2020-05-02,370,112.45235952003615,659.8770216751219,True,102,403.9142766567803,1099.771730679992
102,2020-05-03,396,112.45235952003615,659.8770216751219,True,103,426.19431455758775,1099.771730679992
103,2020-05-04,415,112.45235952003615,659.8770216751219,True,104,449.10067396856664,1099.771730679992
104,2020-05-05,431,112.45235952003615,659.8770216751219,True,105,472.5870424970645,1099.771730679992
105,2020-05-06,440,112.45235952003615,659.8770216751219,True,106,496.60109638956277,1099.771730679992
106,2020-05-07,462,112.45235952003615,659.8770216751219,True,107,521.0848357975138,1099.771730679992
107,2020-05-08,563,112.45235952003615,659.8770216751219,True,108,545.975042767051,1099.771730679992
108,2020-05-09,689,112.45235952003615,659.8770216751219,True,109,571.2038574835136,1099.771730679992
109,2020-05-10,713,112.45235952003615,659.8770216751219,True,110,596.6994639164377,1099.771730679992
110,2020-05-11,724,112.45235952003615,659.8770216751219,True,111,622.3868717293315,1099.771730679992
111,2020-05-12,737,112.45235952003615,659.8770216751219,True,112,648.1887773875859,1099.771730679992
112,2020-05-13,740,112.45235952003615,659.8770216751219,True,113,674.0264840566397,1099.771730679992
113,2020-05-14,754,112.45235952003615,659.8770216751219,True,114,699.8208573427374,1099.771730679992
114,2020-05-15,759,112.45235952003615,659.8770216751219,True,115,725.4932923562944,1099.771730679992
115,2020-05-16,778,112.45235952003615,659.8770216751219,True,116,750.9666670774515,1099.771730679992
116,2020-05-17,786,112.45235952003615,659.8770216751219,True,117,776.1662576085578,1099.771730679992
117,2020-05-18,788,112.45235952003615,659.8770216751219,True,118,801.0205925684439,1099.771730679992
118,2020-05-19,829,112.45235952003615,659.8770216751219,True,119,825.4622265074181,1099.771730679992
119,2020-05-20,833,112.45235952003615,659.8770216751219,True,120,849.4284156291252,1099.771730679992
120,2020-05-21,836,112.45235952003615,659.8770216751219,True,121,872.8616830802762,1099.771730679992
121,2020-05-22,838,112.45235952003615,659.8770216751219,True,122,895.7102653710974,1099.771730679992
122,2020-05-23,850,112.45235952003615,659.8770216751219,True,123,917.9284358719768,1099.771730679992
