,Report_Date,Turkey_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
89,2020-04-20,90980,87.05220936925275,74876.45726584172,True,90,88262.232501573,149219.36881423971
90,2020-04-21,95591,87.05220936925275,74876.45726584172,True,91,92652.19693376518,149219.36881423971
91,2020-04-22,98674,87.05220936925275,74876.45726584172,True,92,96916.36848626468,149219.36881423971
92,2020-04-23,101790,87.05220936925275,74876.45726584172,True,93,101029.5592115387,149219.36881423971
93,2020-04-24,104912,87.05220936925275,74876.45726584172,True,94,104970.50484799231,149219.36881423971
94,2020-04-25,107773,87.05220936925275,74876.45726584172,True,95,108722.1473746162,149219.36881423971
95,2020-04-26,110130,87.05220936925275,74876.45726584172,True,96,112271.71929649598,149219.36881423971
96,2020-04-27,112261,87.05220936925275,74876.45726584172,True,97,115610.64872283055,149219.36881423971
97,2020-04-28,114653,87.05220936925275,74876.45726584172,True,98,118734.31449089952,149219.36881423971
98,2020-04-29,117589,87.05220936925275,74876.45726584172,True,99,121641.68643613445,149219.36881423971
99,2020-04-30,120204,87.05220936925275,74876.45726584172,True,100,124334.88760972943,149219.36881423971
100,2020-05-01,122392,87.05220936925275,74876.45726584172,True,101,126818.71349291981,149219.36881423971
101,2020-05-02,124375,87.05220936925275,74876.45726584172,True,102,129100.13901131418,149219.36881423971
102,2020-05-03,126045,87.05220936925275,74876.45726584172,True,103,131187.83843245788,149219.36881423971
103,2020-05-04,127659,87.05220936925275,74876.45726584172,True,104,133091.73695404586,149219.36881423971
104,2020-05-05,129491,87.05220936925275,74876.45726584172,True,105,134822.6066831027,149219.36881423971
105,2020-05-06,131744,87.05220936925275,74876.45726584172,True,106,136391.71426296735,149219.36881423971
106,2020-05-07,133721,87.05220936925275,74876.45726584172,True,107,137810.52290158602,149219.36881423971
107,2020-05-08,135569,87.05220936925275,74876.45726584172,True,108,139090.4480877346,149219.36881423971
108,2020-05-09,137115,87.05220936925275,74876.45726584172,True,109,140242.66381687895,149219.36881423971
109,2020-05-10,138657,87.05220936925275,74876.45726584172,True,110,141277.95456898498,149219.36881423971
110,2020-05-11,139771,87.05220936925275,74876.45726584172,True,111,142206.60742947643,149219.36881423971
111,2020-05-12,141475,87.05220936925275,74876.45726584172,True,112,143038.3384544328,149219.36881423971
112,2020-05-13,143114,87.05220936925275,74876.45726584172,True,113,143782.24749492426,149219.36881423971
113,2020-05-14,144749,87.05220936925275,74876.45726584172,True,114,144446.79607746197,149219.36881423971
114,2020-05-15,146457,87.05220936925275,74876.45726584172,True,115,145039.803478335,149219.36881423971
115,2020-05-16,148067,87.05220936925275,74876.45726584172,True,116,145568.4567456734,149219.36881423971
116,2020-05-17,149435,87.05220936925275,74876.45726584172,True,117,146039.33105453773,149219.36881423971
117,2020-05-18,150593,87.05220936925275,74876.45726584172,True,118,146458.41738702485,149219.36881423971
118,2020-05-19,151615,87.05220936925275,74876.45726584172,True,119,146831.1550866903,149219.36881423971
119,2020-05-20,152587,87.05220936925275,74876.45726584172,True,120,147162.4673315504,149219.36881423971
120,2020-05-21,153548,87.05220936925275,74876.45726584172,True,121,147456.79799786254,149219.36881423971
121,2020-05-22,154500,87.05220936925275,74876.45726584172,True,122,147718.1487486356,149219.36881423971
122,2020-05-23,155686,87.05220936925275,74876.45726584172,True,123,147950.11548069742,149219.36881423971
