,Report_Date,Antigua and Barbuda_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
56,2020-03-18,1,74.07116786807542,13.386837780927474,True,57,1.7611960539625653,26.30616365183914
57,2020-03-19,1,74.07116786807542,13.386837780927474,True,58,2.0348512299067094,26.30616365183914
58,2020-03-20,1,74.07116786807542,13.386837780927474,True,59,2.3470371222764346,26.30616365183914
59,2020-03-21,1,74.07116786807542,13.386837780927474,True,60,2.7018874551657146,26.30616365183914
60,2020-03-22,1,74.07116786807542,13.386837780927474,True,61,3.1035712698391764,26.30616365183914
61,2020-03-23,3,74.07116786807542,13.386837780927474,True,62,3.556150431454148,26.30616365183914
62,2020-03-24,3,74.07116786807542,13.386837780927474,True,63,4.063397427278461,26.30616365183914
63,2020-03-25,3,74.07116786807542,13.386837780927474,True,64,4.628573660643941,26.30616365183914
64,2020-03-26,7,74.07116786807542,13.386837780927474,True,65,5.254173045754631,26.30616365183914
65,2020-03-27,7,74.07116786807542,13.386837780927474,True,66,5.941641777312085,26.30616365183914
66,2020-03-28,7,74.07116786807542,13.386837780927474,True,67,6.6910922673003945,26.30616365183914
67,2020-03-29,7,74.07116786807542,13.386837780927474,True,68,7.501036492382992,26.30616365183914
68,2020-03-30,7,74.07116786807542,13.386837780927474,True,69,8.368169937751281,26.30616365183914
69,2020-03-31,7,74.07116786807542,13.386837780927474,True,70,9.287240140128016,26.30616365183914
70,2020-04-01,7,74.07116786807542,13.386837780927474,True,71,10.251031710080849,26.30616365183914
71,2020-04-02,9,74.07116786807542,13.386837780927474,True,72,11.2504914222405,26.30616365183914
72,2020-04-03,15,74.07116786807542,13.386837780927474,True,73,12.27500249435167,26.30616365183914
73,2020-04-04,15,74.07116786807542,13.386837780927474,True,74,13.312798186046933,26.30616365183914
74,2020-04-05,15,74.07116786807542,13.386837780927474,True,75,14.351484610926162,26.30616365183914
75,2020-04-06,15,74.07116786807542,13.386837780927474,True,76,15.37862540304352,26.30616365183914
76,2020-04-07,19,74.07116786807542,13.386837780927474,True,77,16.38233063015622,26.30616365183914
77,2020-04-08,19,74.07116786807542,13.386837780927474,True,78,17.35179163053566,26.30616365183914
78,2020-04-09,19,74.07116786807542,13.386837780927474,True,79,18.27771244791933,26.30616365183914
79,2020-04-10,19,74.07116786807542,13.386837780927474,True,80,19.152605018464204,26.30616365183914
80,2020-04-11,21,74.07116786807542,13.386837780927474,True,81,19.9709353436226,26.30616365183914
81,2020-04-12,21,74.07116786807542,13.386837780927474,True,82,20.729127282659817,26.30616365183914
82,2020-04-13,23,74.07116786807542,13.386837780927474,True,83,21.425445851725296,26.30616365183914
83,2020-04-14,23,74.07116786807542,13.386837780927474,True,84,22.059791122114376,26.30616365183914
84,2020-04-15,23,74.07116786807542,13.386837780927474,True,85,22.63343675772491,26.30616365183914
85,2020-04-16,23,74.07116786807542,13.386837780927474,True,86,23.148745013778335,26.30616365183914
86,2020-04-17,23,74.07116786807542,13.386837780927474,True,87,23.608884405348824,26.30616365183914
87,2020-04-18,23,74.07116786807542,13.386837780927474,True,88,24.01756909010016,26.30616365183914
88,2020-04-19,23,74.07116786807542,13.386837780927474,True,89,24.378831803848485,26.30616365183914
89,2020-04-20,23,74.07116786807542,13.386837780927474,True,90,24.69683593326224,26.30616365183914
