,Report_Date,Libyan Arab Jamahiriya_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
55,2020-03-17,0,82.73333640970759,33.949383718930086,True,56,1.6063174938186182,67.83659589256642
56,2020-03-18,0,82.73333640970759,33.949383718930086,True,57,1.839650052850153,67.83659589256642
57,2020-03-19,0,82.73333640970759,33.949383718930086,True,58,2.105799692294216,67.83659589256642
58,2020-03-20,0,82.73333640970759,33.949383718930086,True,59,2.409050078188379,67.83659589256642
59,2020-03-21,0,82.73333640970759,33.949383718930086,True,60,2.754142643761733,67.83659589256642
60,2020-03-22,0,82.73333640970759,33.949383718930086,True,61,3.1462942324007495,67.83659589256642
61,2020-03-23,0,82.73333640970759,33.949383718930086,True,62,3.5912046478572375,67.83659589256642
62,2020-03-24,1,82.73333640970759,33.949383718930086,True,63,4.095050079492027,67.83659589256642
63,2020-03-25,1,82.73333640970759,33.949383718930086,True,64,4.6644575863108955,67.83659589256642
64,2020-03-26,1,82.73333640970759,33.949383718930086,True,65,5.306455080068933,67.83659589256642
65,2020-03-27,1,82.73333640970759,33.949383718930086,True,66,6.028390651875134,67.83659589256642
66,2020-03-28,3,82.73333640970759,33.949383718930086,True,67,6.837814790198283,67.83659589256642
67,2020-03-29,8,82.73333640970759,33.949383718930086,True,68,7.742319240223772,67.83659589256642
68,2020-03-30,8,82.73333640970759,33.949383718930086,True,69,8.749327196595756,67.83659589256642
69,2020-03-31,10,82.73333640970759,33.949383718930086,True,70,9.865831468140938,67.83659589256642
70,2020-04-01,10,82.73333640970759,33.949383718930086,True,71,11.098080452825243,67.83659589256642
71,2020-04-02,11,82.73333640970759,33.949383718930086,True,72,12.451216384039961,67.83659589256642
72,2020-04-03,11,82.73333640970759,33.949383718930086,True,73,13.92887636073282,67.83659589256642
73,2020-04-04,18,82.73333640970759,33.949383718930086,True,74,15.532773893940908,67.83659589256642
74,2020-04-05,18,82.73333640970759,33.949383718930086,True,75,17.26228647235765,67.83659589256642
