,Report_Date,Ghana_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
57,2020-03-19,11,107.22354546924343,3653.271328952866,False,58,40.91360140178038,7306.542657905732
58,2020-03-20,16,107.22354546924343,3653.271328952866,False,59,45.425081207677536,7306.542657905732
59,2020-03-21,19,107.22354546924343,3653.271328952866,False,60,50.43058198625891,7306.542657905732
60,2020-03-22,23,107.22354546924343,3653.271328952866,False,61,55.983398529876325,7306.542657905732
61,2020-03-23,27,107.22354546924343,3653.271328952866,False,62,62.14238905566431,7306.542657905732
62,2020-03-24,53,107.22354546924343,3653.271328952866,False,63,68.97251277192633,7306.542657905732
63,2020-03-25,93,107.22354546924343,3653.271328952866,False,64,76.54540923346339,7306.542657905732
64,2020-03-26,132,107.22354546924343,3653.271328952866,False,65,84.94002023458349,7306.542657905732
65,2020-03-27,137,107.22354546924343,3653.271328952866,False,66,94.24325426566259,7306.542657905732
66,2020-03-28,141,107.22354546924343,3653.271328952866,False,67,104.5506926037856,7306.542657905732
67,2020-03-29,152,107.22354546924343,3653.271328952866,False,68,115.96733487108426,7306.542657905732
68,2020-03-30,152,107.22354546924343,3653.271328952866,False,69,128.60838031991844,7306.542657905732
69,2020-03-31,161,107.22354546924343,3653.271328952866,False,70,142.60003912923216,7306.542657905732
70,2020-04-01,195,107.22354546924343,3653.271328952866,False,71,158.08036555230893,7306.542657905732
71,2020-04-02,204,107.22354546924343,3653.271328952866,False,72,175.20010176906246,7306.542657905732
72,2020-04-03,205,107.22354546924343,3653.271328952866,False,73,194.12351768996652,7306.542657905732
73,2020-04-04,205,107.22354546924343,3653.271328952866,False,74,215.02922765949927,7306.542657905732
74,2020-04-05,214,107.22354546924343,3653.271328952866,False,75,238.11095994786845,7306.542657905732
75,2020-04-06,214,107.22354546924343,3653.271328952866,False,76,263.5782490500376,7306.542657905732
76,2020-04-07,287,107.22354546924343,3653.271328952866,False,77,291.65701410722,7306.542657905732
77,2020-04-08,313,107.22354546924343,3653.271328952866,False,78,322.5899792468839,7306.542657905732
78,2020-04-09,378,107.22354546924343,3653.271328952866,False,79,356.6368833831144,7306.542657905732
79,2020-04-10,378,107.22354546924343,3653.271328952866,False,80,394.0744181949872,7306.542657905732
80,2020-04-11,408,107.22354546924343,3653.271328952866,False,81,435.19582388421,7306.542657905732
81,2020-04-12,566,107.22354546924343,3653.271328952866,False,82,480.31006332620274,7306.542657905732
82,2020-04-13,566,107.22354546924343,3653.271328952866,False,83,529.7404869696352,7306.542657905732
83,2020-04-14,636,107.22354546924343,3653.271328952866,False,84,583.8228941148484,7306.542657905732
84,2020-04-15,636,107.22354546924343,3653.271328952866,False,85,642.9028920518352,7306.542657905732
85,2020-04-16,641,107.22354546924343,3653.271328952866,False,86,707.3324542480268,7306.542657905732
86,2020-04-17,641,107.22354546924343,3653.271328952866,False,87,777.4655838624344,7306.542657905732
87,2020-04-18,834,107.22354546924343,3653.271328952866,False,88,853.6530010280934,7306.542657905732
88,2020-04-19,1042,107.22354546924343,3653.271328952866,False,89,936.235793381709,7306.542657905732
