,Report_Date,Singapore_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
48,2020-03-10,160,98.26749250154,14461.801138080711,True,49,89.76297961775451,26581.14311006925
49,2020-03-11,178,98.26749250154,14461.801138080711,True,50,100.88144357858259,26581.14311006925
50,2020-03-12,178,98.26749250154,14461.801138080711,True,51,113.37167772078097,26581.14311006925
51,2020-03-13,200,98.26749250154,14461.801138080711,True,52,127.40150496982938,26581.14311006925
52,2020-03-14,212,98.26749250154,14461.801138080711,True,53,143.15890626808667,26581.14311006925
53,2020-03-15,226,98.26749250154,14461.801138080711,True,54,160.85434375057008,26581.14311006925
54,2020-03-16,243,98.26749250154,14461.801138080711,True,55,180.723325744392,26581.14311006925
55,2020-03-17,266,98.26749250154,14461.801138080711,True,56,203.02923176252136,26581.14311006925
56,2020-03-18,313,98.26749250154,14461.801138080711,True,57,228.06641499055957,26581.14311006925
57,2020-03-19,345,98.26749250154,14461.801138080711,True,58,256.1635983204711,26581.14311006925
58,2020-03-20,385,98.26749250154,14461.801138080711,True,59,287.68757752340366,26581.14311006925
59,2020-03-21,432,98.26749250154,14461.801138080711,True,60,323.0472413742067,26581.14311006925
60,2020-03-22,455,98.26749250154,14461.801138080711,True,61,362.69791307713024,26581.14311006925
61,2020-03-23,509,98.26749250154,14461.801138080711,True,62,407.14600975539133,26581.14311006925
62,2020-03-24,558,98.26749250154,14461.801138080711,True,63,456.95400653495835,26581.14311006925
63,2020-03-25,631,98.26749250154,14461.801138080711,True,64,512.7456782657961,26581.14311006925
64,2020-03-26,683,98.26749250154,14461.801138080711,True,65,575.211574484319,26581.14311006925
65,2020-03-27,732,98.26749250154,14461.801138080711,True,66,645.1146610492588,26581.14311006925
66,2020-03-28,802,98.26749250154,14461.801138080711,True,67,723.2960341349259,26581.14311006925
67,2020-03-29,844,98.26749250154,14461.801138080711,True,68,810.6805780652525,26581.14311006925
68,2020-03-30,879,98.26749250154,14461.801138080711,True,69,908.2823969686832,26581.14311006925
69,2020-03-31,926,98.26749250154,14461.801138080711,True,70,1017.209800690591,26581.14311006925
70,2020-04-01,1000,98.26749250154,14461.801138080711,True,71,1138.6695673204922,26581.14311006925
71,2020-04-02,1049,98.26749250154,14461.801138080711,True,72,1273.970137999925,26581.14311006925
72,2020-04-03,1114,98.26749250154,14461.801138080711,True,73,1424.5233249578332,26581.14311006925
73,2020-04-04,1189,98.26749250154,14461.801138080711,True,74,1591.844032524743,26581.14311006925
74,2020-04-05,1309,98.26749250154,14461.801138080711,True,75,1777.5474061005887,26581.14311006925
75,2020-04-06,1375,98.26749250154,14461.801138080711,True,76,1983.3427403685791,26581.14311006925
76,2020-04-07,1481,98.26749250154,14461.801138080711,True,77,2211.0234023811045,26581.14311006925
77,2020-04-08,1623,98.26749250154,14461.801138080711,True,78,2462.4519671078115,26581.14311006925
78,2020-04-09,1910,98.26749250154,14461.801138080711,True,79,2739.5397352697887,26581.14311006925
79,2020-04-10,2108,98.26749250154,14461.801138080711,True,80,3044.2198215416324,26581.14311006925
80,2020-04-11,2299,98.26749250154,14461.801138080711,True,81,3378.413084018034,26581.14311006925
81,2020-04-12,2532,98.26749250154,14461.801138080711,True,82,3743.986333549304,26581.14311006925
82,2020-04-13,2918,98.26749250154,14461.801138080711,True,83,4142.70253443652,26581.14311006925
83,2020-04-14,3252,98.26749250154,14461.801138080711,True,84,4576.1631033470085,26581.14311006925
84,2020-04-15,3699,98.26749250154,14461.801138080711,True,85,5045.742941399922,26581.14311006925
85,2020-04-16,4427,98.26749250154,14461.801138080711,True,86,5552.519493224218,26581.14311006925
86,2020-04-17,5050,98.26749250154,14461.801138080711,True,87,6097.197896595929,26581.14311006925
87,2020-04-18,5992,98.26749250154,14461.801138080711,True,88,6680.035124067214,26581.14311006925
88,2020-04-19,6588,98.26749250154,14461.801138080711,True,89,7300.766854224057,26581.14311006925
89,2020-04-20,8014,98.26749250154,14461.801138080711,True,90,7958.541548725741,26581.14311006925
90,2020-04-21,9125,98.26749250154,14461.801138080711,True,91,8651.866734901967,26581.14311006925
91,2020-04-22,10141,98.26749250154,14461.801138080711,True,92,9378.57267639277,26581.14311006925
92,2020-04-23,11178,98.26749250154,14461.801138080711,True,93,10135.798340335046,26581.14311006925
93,2020-04-24,12075,98.26749250154,14461.801138080711,True,94,10920.003757542923,26581.14311006925
94,2020-04-25,12693,98.26749250154,14461.801138080711,True,95,11727.011500215945,26581.14311006925
95,2020-04-26,13624,98.26749250154,14461.801138080711,True,96,12552.07812805688,26581.14311006925
96,2020-04-27,14423,98.26749250154,14461.801138080711,True,97,13389.994225003944,26581.14311006925
97,2020-04-28,14951,98.26749250154,14461.801138080711,True,98,14235.209291991101,26581.14311006925
98,2020-04-29,15641,98.26749250154,14461.801138080711,True,99,15081.975555814784,26581.14311006925
99,2020-04-30,16169,98.26749250154,14461.801138080711,True,100,15924.502988899168,26581.14311006925
100,2020-05-01,17101,98.26749250154,14461.801138080711,True,101,16757.116755665353,26581.14311006925
101,2020-05-02,17548,98.26749250154,14461.801138080711,True,102,17574.408064552517,26581.14311006925
102,2020-05-03,18205,98.26749250154,14461.801138080711,True,103,18371.370045317726,26581.14311006925
103,2020-05-04,18778,98.26749250154,14461.801138080711,True,104,19143.5116952868,26581.14311006925
104,2020-05-05,19410,98.26749250154,14461.801138080711,True,105,19886.944942555463,26581.14311006925
105,2020-05-06,20198,98.26749250154,14461.801138080711,True,106,20598.442186415075,26581.14311006925
106,2020-05-07,20939,98.26749250154,14461.801138080711,True,107,21275.46400493048,26581.14311006925
107,2020-05-08,21707,98.26749250154,14461.801138080711,True,108,21916.15880695982,26581.14311006925
108,2020-05-09,22460,98.26749250154,14461.801138080711,True,109,22519.337859088417,26581.14311006925
