,Report_Date,Bahamas_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
57,2020-03-19,3,77.49604749167005,34.581787433810376,True,58,3.619588377716771,64.38355094293247
58,2020-03-20,3,77.49604749167005,34.581787433810376,True,59,4.164410435045862,64.38355094293247
59,2020-03-21,4,77.49604749167005,34.581787433810376,True,60,4.785252173691621,64.38355094293247
60,2020-03-22,4,77.49604749167005,34.581787433810376,True,61,5.490831928837095,64.38355094293247
61,2020-03-23,4,77.49604749167005,34.581787433810376,True,62,6.290283334495447,64.38355094293247
62,2020-03-24,5,77.49604749167005,34.581787433810376,True,63,7.192983601039642,64.38355094293247
63,2020-03-25,5,77.49604749167005,34.581787433810376,True,64,8.208315375743412,64.38355094293247
64,2020-03-26,9,77.49604749167005,34.581787433810376,True,65,9.345354081502096,64.38355094293247
65,2020-03-27,10,77.49604749167005,34.581787433810376,True,66,10.612476373017747,64.38355094293247
66,2020-03-28,10,77.49604749167005,34.581787433810376,True,67,12.016891471517075,64.38355094293247
67,2020-03-29,11,77.49604749167005,34.581787433810376,True,68,13.564105895873544,64.38355094293247
68,2020-03-30,14,77.49604749167005,34.581787433810376,True,69,15.257343351624694,64.38355094293247
69,2020-03-31,14,77.49604749167005,34.581787433810376,True,70,17.096954493963686,64.38355094293247
70,2020-04-01,21,77.49604749167005,34.581787433810376,True,71,19.07986436749244,64.38355094293247
71,2020-04-02,24,77.49604749167005,34.581787433810376,True,72,21.19911613496279,64.38355094293247
72,2020-04-03,24,77.49604749167005,34.581787433810376,True,73,23.44357523232477,64.38355094293247
73,2020-04-04,28,77.49604749167005,34.581787433810376,True,74,25.797855290878214,64.38355094293247
74,2020-04-05,28,77.49604749167005,34.581787433810376,True,75,28.24251385240478,64.38355094293247
75,2020-04-06,29,77.49604749167005,34.581787433810376,True,76,30.75454169520009,64.38355094293247
76,2020-04-07,33,77.49604749167005,34.581787433810376,True,77,33.308136680906074,64.38355094293247
77,2020-04-08,40,77.49604749167005,34.581787433810376,True,78,35.875716294519876,64.38355094293247
78,2020-04-09,41,77.49604749167005,34.581787433810376,True,79,38.429089243494815,64.38355094293247
79,2020-04-10,42,77.49604749167005,34.581787433810376,True,80,40.94068263873754,64.38355094293247
80,2020-04-11,46,77.49604749167005,34.581787433810376,True,81,43.384712719689034,64.38355094293247
81,2020-04-12,46,77.49604749167005,34.581787433810376,True,82,45.73819577998621,64.38355094293247
82,2020-04-13,47,77.49604749167005,34.581787433810376,True,83,47.9817198964523,64.38355094293247
83,2020-04-14,49,77.49604749167005,34.581787433810376,True,84,50.09993192230559,64.38355094293247
84,2020-04-15,49,77.49604749167005,34.581787433810376,True,85,52.081730937629615,64.38355094293247
