,Report_Date,Jamaica_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
75,2020-04-06,58,148.27737313870324,7325.434258078687,False,76,53.33890087876324,14650.868516157363
76,2020-04-07,63,148.27737313870324,7325.434258078687,False,77,57.6284592919554,14650.868516157363
77,2020-04-08,63,148.27737313870324,7325.434258078687,False,78,62.26151616317309,14650.868516157363
78,2020-04-09,63,148.27737313870324,7325.434258078687,False,79,67.2653321275377,14650.868516157363
79,2020-04-10,63,148.27737313870324,7325.434258078687,False,80,72.66929018115715,14650.868516157363
80,2020-04-11,65,148.27737313870324,7325.434258078687,False,81,78.50505404343566,14650.868516157363
81,2020-04-12,69,148.27737313870324,7325.434258078687,False,82,84.80673717784225,14650.868516157363
82,2020-04-13,73,148.27737313870324,7325.434258078687,False,83,91.61108298857134,14650.868516157363
83,2020-04-14,73,148.27737313870324,7325.434258078687,False,84,98.95765669832268,14650.868516157363
84,2020-04-15,125,148.27737313870324,7325.434258078687,False,85,106.88904939109483,14650.868516157363
85,2020-04-16,143,148.27737313870324,7325.434258078687,False,86,115.45109467155645,14650.868516157363
