,Report_Date,Oman_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
114,2020-05-15,4625,3255,146.50736318679776,17990.11808551586,False,115,4724.560330993304,35980.236171031735
115,2020-05-16,5029,3572,146.50736318679776,17990.11808551586,False,116,4976.166302650748,35980.236171031735
116,2020-05-17,5186,3699,146.50736318679776,17990.11808551586,False,117,5238.925606654005,35980.236171031735
117,2020-05-18,5379,3858,146.50736318679776,17990.11808551586,False,118,5513.0923745373375,35980.236171031735
118,2020-05-19,5671,4070,146.50736318679776,17990.11808551586,False,119,5798.900494646466,35980.236171031735
119,2020-05-20,6043,4352,146.50736318679776,17990.11808551586,False,120,6096.560516399675,35980.236171031735
120,2020-05-21,6370,4518,146.50736318679776,17990.11808551586,False,121,6406.256446695771,35980.236171031735
121,2020-05-22,6794,4939,146.50736318679776,17990.11808551586,False,122,6728.142466068893,35980.236171031735
122,2020-05-23,7257,5373,146.50736318679776,17990.11808551586,False,123,7062.339597242584,35980.236171031735
123,2020-05-24,7770,5800,146.50736318679776,17990.11808551586,False,124,7408.932363820028,35980.236171031735
124,2020-05-25,7770,5800,146.50736318679776,17990.11808551586,False,125,7767.965481826978,35980.236171031735
125,2020-05-26,8118,6014,146.50736318679776,17990.11808551586,False,126,8139.440631540092,35980.236171031735
126,2020-05-27,8373,6157,146.50736318679776,17990.11808551586,False,127,8523.313361308481,35980.236171031735
127,2020-05-28,9009,6792,146.50736318679776,17990.11808551586,False,128,8919.490178719441,35980.236171031735
