,Report_Date,Bosnia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
48,2020-03-10,5,75.98009902418545,700.3663068677988,True,49,23.102616034265363,1326.4229970865101
49,2020-03-11,7,75.98009902418545,700.3663068677988,True,50,26.81004435602856,1326.4229970865101
50,2020-03-12,11,75.98009902418545,700.3663068677988,True,51,31.098997332102222,1326.4229970865101
51,2020-03-13,13,75.98009902418545,700.3663068677988,True,52,36.056071977388775,1326.4229970865101
52,2020-03-14,18,75.98009902418545,700.3663068677988,True,53,41.77918511126435,1326.4229970865101
53,2020-03-15,24,75.98009902418545,700.3663068677988,True,54,48.37851338842057,1326.4229970865101
54,2020-03-16,25,75.98009902418545,700.3663068677988,True,55,55.97731538789849,1326.4229970865101
55,2020-03-17,26,75.98009902418545,700.3663068677988,True,56,64.71254636484068,1326.4229970865101
56,2020-03-18,38,75.98009902418545,700.3663068677988,True,57,74.73514936484602,1326.4229970865101
57,2020-03-19,63,75.98009902418545,700.3663068677988,True,58,86.20987617761632,1326.4229970865101
58,2020-03-20,89,75.98009902418545,700.3663068677988,True,59,99.31445982264718,1326.4229970865101
59,2020-03-21,93,75.98009902418545,700.3663068677988,True,60,114.23793013532027,1326.4229970865101
60,2020-03-22,126,75.98009902418545,700.3663068677988,True,61,131.1778407153127,1326.4229970865101
61,2020-03-23,136,75.98009902418545,700.3663068677988,True,62,150.33616650461246,1326.4229970865101
62,2020-03-24,166,75.98009902418545,700.3663068677988,True,63,171.9136465335521,1326.4229970865101
63,2020-03-25,176,75.98009902418545,700.3663068677988,True,64,196.10239788406994,1326.4229970865101
64,2020-03-26,191,75.98009902418545,700.3663068677988,True,65,223.0767272876799,1326.4229970865101
65,2020-03-27,237,75.98009902418545,700.3663068677988,True,66,252.9822265838047,1326.4229970865101
66,2020-03-28,258,75.98009902418545,700.3663068677988,True,67,285.9234618894576,1326.4229970865101
67,2020-03-29,323,75.98009902418545,700.3663068677988,True,68,321.9508465568708,1326.4229970865101
68,2020-03-30,368,75.98009902418545,700.3663068677988,True,69,361.0476004541839,1326.4229970865101
69,2020-03-31,420,75.98009902418545,700.3663068677988,True,70,403.11799759543476,1326.4229970865101
70,2020-04-01,459,75.98009902418545,700.3663068677988,True,71,447.97832568502884,1326.4229970865101
71,2020-04-02,533,75.98009902418545,700.3663068677988,True,72,495.3520485730421,1326.4229970865101
72,2020-04-03,579,75.98009902418545,700.3663068677988,True,73,544.8705060400863,1326.4229970865101
73,2020-04-04,624,75.98009902418545,700.3663068677988,True,74,596.0800651299893,1326.4229970865101
74,2020-04-05,654,75.98009902418545,700.3663068677988,True,75,648.4559680130268,1326.4229970865101
75,2020-04-06,674,75.98009902418545,700.3663068677988,True,76,701.4222854989728,1326.4229970865101
76,2020-04-07,764,75.98009902418545,700.3663068677988,True,77,754.3765266221376,1326.4229970865101
77,2020-04-08,804,75.98009902418545,700.3663068677988,True,78,806.7167481437098,1326.4229970865101
78,2020-04-09,858,75.98009902418545,700.3663068677988,True,79,857.8686119428376,1326.4229970865101
79,2020-04-10,901,75.98009902418545,700.3663068677988,True,80,907.3098466313805,1326.4229970865101
80,2020-04-11,946,75.98009902418545,700.3663068677988,True,81,954.5899803205904,1326.4229970865101
81,2020-04-12,1009,75.98009902418545,700.3663068677988,True,82,999.3439274077416,1326.4229970865101
82,2020-04-13,1037,75.98009902418545,700.3663068677988,True,83,1041.2988733155717,1326.4229970865101
83,2020-04-14,1083,75.98009902418545,700.3663068677988,True,84,1080.2747327575387,1326.4229970865101
84,2020-04-15,1110,75.98009902418545,700.3663068677988,True,85,1116.1791175402443,1326.4229970865101
