,Report_Date,Slovenia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
67,2020-03-29,730,66.58480751986393,652.7548413204389,True,68,721.4113438476163,1286.956874923665
68,2020-03-30,756,66.58480751986393,652.7548413204389,True,69,769.1040093758677,1286.956874923665
69,2020-03-31,802,66.58480751986393,652.7548413204389,True,70,815.5473094109896,1286.956874923665
70,2020-04-01,841,66.58480751986393,652.7548413204389,True,71,860.297179391706,1286.956874923665
71,2020-04-02,897,66.58480751986393,652.7548413204389,True,72,902.9772067936634,1286.956874923665
72,2020-04-03,934,66.58480751986393,652.7548413204389,True,73,943.2884304570816,1286.956874923665
73,2020-04-04,977,66.58480751986393,652.7548413204389,True,74,981.013446850367,1286.956874923665
74,2020-04-05,997,66.58480751986393,652.7548413204389,True,75,1016.0152517629551,1286.956874923665
75,2020-04-06,1021,66.58480751986393,652.7548413204389,True,76,1048.231730064381,1286.956874923665
76,2020-04-07,1059,66.58480751986393,652.7548413204389,True,77,1077.6669778121343,1286.956874923665
77,2020-04-08,1091,66.58480751986393,652.7548413204389,True,78,1104.3807050523321,1286.956874923665
78,2020-04-09,1124,66.58480751986393,652.7548413204389,True,79,1128.4768660121708,1286.956874923665
79,2020-04-10,1160,66.58480751986393,652.7548413204389,True,80,1150.092455451777,1286.956874923665
80,2020-04-11,1188,66.58480751986393,652.7548413204389,True,81,1169.3871552027163,1286.956874923665
81,2020-04-12,1205,66.58480751986393,652.7548413204389,True,82,1186.5342613578855,1286.956874923665
82,2020-04-13,1212,66.58480751986393,652.7548413204389,True,83,1201.7131018325815,1286.956874923665
83,2020-04-14,1220,66.58480751986393,652.7548413204389,True,84,1215.1029817862907,1286.956874923665
84,2020-04-15,1248,66.58480751986393,652.7548413204389,True,85,1226.8785738562708,1286.956874923665
