,Report_Date,Cyprus_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
81,2020-04-12,633,557,75.94160401399655,453.02511669322234,True,82,632.413073740069,905.8803039463952
82,2020-04-13,662,585,75.94160401399655,453.02511669322234,True,83,658.0799065636163,905.8803039463952
83,2020-04-14,695,618,75.94160401399655,453.02511669322234,True,84,682.1914242502362,905.8803039463952
84,2020-04-15,715,638,75.94160401399655,453.02511669322234,True,85,704.6758689598024,905.8803039463952
85,2020-04-16,735,646,75.94160401399655,453.02511669322234,True,86,725.4996687105894,905.8803039463952
86,2020-04-17,750,661,75.94160401399655,453.02511669322234,True,87,744.6632806535833,905.8803039463952
87,2020-04-18,761,670,75.94160401399655,453.02511669322234,True,88,762.1961811270087,905.8803039463952
88,2020-04-19,767,674,75.94160401399655,453.02511669322234,True,89,778.1514755659504,905.8803039463952
89,2020-04-20,772,679,75.94160401399655,453.02511669322234,True,90,792.6005244206576,905.8803039463952
90,2020-04-21,784,674,75.94160401399655,453.02511669322234,True,91,805.6278856000862,905.8803039463952
91,2020-04-22,790,679,75.94160401399655,453.02511669322234,True,92,817.3267760734789,905.8803039463952
92,2020-04-23,795,684,75.94160401399655,453.02511669322234,True,93,827.7951667191187,905.8803039463952
93,2020-04-24,804,692,75.94160401399655,453.02511669322234,True,94,837.1325518719389,905.8803039463952
94,2020-04-25,810,648,75.94160401399655,453.02511669322234,True,95,845.4373806396998,905.8803039463952
95,2020-04-26,817,655,75.94160401399655,453.02511669322234,True,96,852.8051002745368,905.8803039463952
96,2020-04-27,822,659,75.94160401399655,453.02511669322234,True,97,859.3267402631792,905.8803039463952
97,2020-04-28,837,674,75.94160401399655,453.02511669322234,True,98,865.087956118458,905.8803039463952
98,2020-04-29,843,680,75.94160401399655,453.02511669322234,True,99,870.1684508323082,905.8803039463952
99,2020-04-30,850,539,75.94160401399655,453.02511669322234,True,100,874.6416966564625,905.8803039463952
100,2020-05-01,857,546,75.94160401399655,453.02511669322234,True,101,878.5748879326632,905.8803039463952
101,2020-05-02,864,553,75.94160401399655,453.02511669322234,True,102,882.0290653124435,905.8803039463952
102,2020-05-03,872,561,75.94160401399655,453.02511669322234,True,103,885.059361641532,905.8803039463952
103,2020-05-04,874,563,75.94160401399655,453.02511669322234,True,104,887.7153292373948,905.8803039463952
104,2020-05-05,878,567,75.94160401399655,453.02511669322234,True,105,890.0413168050592,905.8803039463952
105,2020-05-06,883,572,75.94160401399655,453.02511669322234,True,106,892.0768716066488,905.8803039463952
106,2020-05-07,889,474,75.94160401399655,453.02511669322234,True,107,893.8571486792061,905.8803039463952
107,2020-05-08,891,476,75.94160401399655,453.02511669322234,True,108,895.4133139403563,905.8803039463952
108,2020-05-09,892,476,75.94160401399655,453.02511669322234,True,109,896.7729320452551,905.8803039463952
109,2020-05-10,898,481,75.94160401399655,453.02511669322234,True,110,897.9603329987184,905.8803039463952
110,2020-05-11,901,484,75.94160401399655,453.02511669322234,True,111,898.996953925547,905.8803039463952
111,2020-05-12,903,438,75.94160401399655,453.02511669322234,True,112,899.9016541942193,905.8803039463952
112,2020-05-13,905,439,75.94160401399655,453.02511669322234,True,113,900.6910033947046,905.8803039463952
113,2020-05-14,907,409,75.94160401399655,453.02511669322234,True,114,901.3795425938698,905.8803039463952
114,2020-05-15,910,412,75.94160401399655,453.02511669322234,True,115,901.9800199187218,905.8803039463952
115,2020-05-16,914,382,75.94160401399655,453.02511669322234,True,116,902.503601919604,905.8803039463952
116,2020-05-17,916,384,75.94160401399655,453.02511669322234,True,117,902.9600623995976,905.8803039463952
117,2020-05-18,917,385,75.94160401399655,453.02511669322234,True,118,903.3579505078015,905.8803039463952
118,2020-05-19,918,386,75.94160401399655,453.02511669322234,True,119,903.7047399180188,905.8803039463952
119,2020-05-20,922,389,75.94160401399655,453.02511669322234,True,120,904.0069608775282,905.8803039463952
120,2020-05-21,923,345,75.94160401399655,453.02511669322234,True,121,904.270316833451,905.8803039463952
121,2020-05-22,927,349,75.94160401399655,453.02511669322234,True,122,904.4997872418671,905.8803039463952
122,2020-05-23,927,316,75.94160401399655,453.02511669322234,True,123,904.69971804842,905.8803039463952
123,2020-05-24,935,324,75.94160401399655,453.02511669322234,True,124,904.8739012066575,905.8803039463952
124,2020-05-25,937,326,75.94160401399655,453.02511669322234,True,125,905.0256444773833,905.8803039463952
125,2020-05-26,939,328,75.94160401399655,453.02511669322234,True,126,905.1578326326529,905.8803039463952
126,2020-05-27,939,328,75.94160401399655,453.02511669322234,True,127,905.2729810742346,905.8803039463952
127,2020-05-28,941,140,75.94160401399655,453.02511669322234,True,128,905.3732827698203,905.8803039463952
