,Report_Date,Vietnam_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
79,2020-04-10,257,63.10991116616469,138.54289562904012,True,80,256.5770817431105,276.4759782352537
80,2020-04-11,258,63.10991116616469,138.54289562904012,True,81,259.24304482749375,276.4759782352537
81,2020-04-12,262,63.10991116616469,138.54289562904012,True,82,261.58339345865613,276.4759782352537
82,2020-04-13,265,63.10991116616469,138.54289562904012,True,83,263.63269958208394,276.4759782352537
83,2020-04-14,266,63.10991116616469,138.54289562904012,True,84,265.4231802416713,276.4759782352537
84,2020-04-15,267,63.10991116616469,138.54289562904012,True,85,266.9844951829621,276.4759782352537
85,2020-04-16,268,63.10991116616469,138.54289562904012,True,86,268.3436757267427,276.4759782352537
86,2020-04-17,268,63.10991116616469,138.54289562904012,True,87,269.525150690707,276.4759782352537
87,2020-04-18,268,63.10991116616469,138.54289562904012,True,88,270.5508407917637,276.4759782352537
88,2020-04-19,268,63.10991116616469,138.54289562904012,True,89,271.4402985105755,276.4759782352537
89,2020-04-20,268,63.10991116616469,138.54289562904012,True,90,272.2108754537525,276.4759782352537
90,2020-04-21,268,63.10991116616469,138.54289562904012,True,91,272.8779036203931,276.4759782352537
91,2020-04-22,268,63.10991116616469,138.54289562904012,True,92,273.4548806154259,276.4759782352537
92,2020-04-23,268,63.10991116616469,138.54289562904012,True,93,273.9536517814149,276.4759782352537
93,2020-04-24,270,63.10991116616469,138.54289562904012,True,94,274.38458451619675,276.4759782352537
