,Report_Date,Ukraine_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
72,2020-04-03,1072,96.66359812186246,9336.782193566207,False,73,1052.0243523896006,18673.56438713241
73,2020-04-04,1225,96.66359812186246,9336.782193566207,False,74,1176.7055453752262,18673.56438713241
74,2020-04-05,1308,96.66359812186246,9336.782193566207,False,75,1315.0606399583735,18673.56438713241
75,2020-04-06,1319,96.66359812186246,9336.782193566207,False,76,1468.3181410962616,18673.56438713241
76,2020-04-07,1462,96.66359812186246,9336.782193566207,False,77,1637.7511806538885,18673.56438713241
77,2020-04-08,1668,96.66359812186246,9336.782193566207,False,78,1824.6620689959552,18673.56438713241
78,2020-04-09,1892,96.66359812186246,9336.782193566207,False,79,2030.3621218051617,18673.56438713241
79,2020-04-10,2203,96.66359812186246,9336.782193566207,False,80,2256.1462606181803,18673.56438713241
80,2020-04-11,2511,96.66359812186246,9336.782193566207,False,81,2503.2620292997776,18673.56438713241
81,2020-04-12,2777,96.66359812186246,9336.782193566207,False,82,2772.8728951631197,18673.56438713241
82,2020-04-13,3102,96.66359812186246,9336.782193566207,False,83,3066.016024593149,18673.56438713241
83,2020-04-14,3372,96.66359812186246,9336.782193566207,False,84,3383.555144135905,18673.56438713241
84,2020-04-15,3764,96.66359812186246,9336.782193566207,False,85,3726.129613559061,18673.56438713241
85,2020-04-16,4161,96.66359812186246,9336.782193566207,False,86,4094.10142658869,18673.56438713241
86,2020-04-17,4662,96.66359812186246,9336.782193566207,False,87,4487.502478052756,18673.56438713241
87,2020-04-18,5106,96.66359812186246,9336.782193566207,False,88,4905.985032251196,18673.56438713241
88,2020-04-19,5449,96.66359812186246,9336.782193566207,False,89,5348.778816369055,18673.56438713241
89,2020-04-20,5710,96.66359812186246,9336.782193566207,False,90,5814.658451429978,18673.56438713241
