,Report_Date,China_inner mongolia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
53,2020-03-15,75,529.4627663918332,1302582.2155201775,False,54,84.28920854886732,2605164.4310403545
54,2020-03-16,75,529.4627663918332,1302582.2155201775,False,55,86.14204977757996,2605164.4310403545
55,2020-03-17,75,529.4627663918332,1302582.2155201775,False,56,88.03561869448691,2605164.4310403545
56,2020-03-18,75,529.4627663918332,1302582.2155201775,False,57,89.9708104821919,2605164.4310403545
57,2020-03-19,75,529.4627663918332,1302582.2155201775,False,58,91.94853999642973,2605164.4310403545
58,2020-03-20,75,529.4627663918332,1302582.2155201775,False,59,93.96974219829539,2605164.4310403545
59,2020-03-21,75,529.4627663918332,1302582.2155201775,False,60,96.03537259596402,2605164.4310403545
60,2020-03-22,75,529.4627663918332,1302582.2155201775,False,61,98.14640769610986,2605164.4310403545
61,2020-03-23,75,529.4627663918332,1302582.2155201775,False,62,100.30384546523713,2605164.4310403545
62,2020-03-24,75,529.4627663918332,1302582.2155201775,False,63,102.50870580114007,2605164.4310403545
63,2020-03-25,77,529.4627663918332,1302582.2155201775,False,64,104.76203101471435,2605164.4310403545
64,2020-03-26,89,529.4627663918332,1302582.2155201775,False,65,107.06488632234651,2605164.4310403545
65,2020-03-27,92,529.4627663918332,1302582.2155201775,False,66,109.41836034911402,2605164.4310403545
66,2020-03-28,94,529.4627663918332,1302582.2155201775,False,67,111.82356564303242,2605164.4310403545
67,2020-03-29,95,529.4627663918332,1302582.2155201775,False,68,114.28163920059191,2605164.4310403545
68,2020-03-30,97,529.4627663918332,1302582.2155201775,False,69,116.793743003831,2605164.4310403545
69,2020-03-31,107,529.4627663918332,1302582.2155201775,False,70,119.3610645692001,2605164.4310403545
70,2020-04-01,111,529.4627663918332,1302582.2155201775,False,71,121.98481750847341,2605164.4310403545
71,2020-04-02,117,529.4627663918332,1302582.2155201775,False,72,124.66624210197315,2605164.4310403545
72,2020-04-03,117,529.4627663918332,1302582.2155201775,False,73,127.40660588437642,2605164.4310403545
73,2020-04-04,117,529.4627663918332,1302582.2155201775,False,74,130.20720424337964,2605164.4310403545
74,2020-04-05,117,529.4627663918332,1302582.2155201775,False,75,133.0693610315034,2605164.4310403545
75,2020-04-06,118,529.4627663918332,1302582.2155201775,False,76,135.99442919132466,2605164.4310403545
76,2020-04-07,121,529.4627663918332,1302582.2155201775,False,77,138.98379139443122,2605164.4310403545
77,2020-04-08,124,529.4627663918332,1302582.2155201775,False,78,142.03886069439866,2605164.4310403545
78,2020-04-09,126,529.4627663918332,1302582.2155201775,False,79,145.1610811940978,2605164.4310403545
