,Report_Date,Cameroon_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
42,2020-03-04,0,0,148.2397148848279,10321.861161124032,False,43,100.33082227442512,20643.722322248064
43,2020-03-05,0,0,148.2397148848279,10321.861161124032,False,44,105.50828270240078,20643.722322248064
44,2020-03-06,1,1,148.2397148848279,10321.861161124032,False,45,110.95147723443833,20643.722322248064
45,2020-03-07,1,1,148.2397148848279,10321.861161124032,False,46,116.673892056562,20643.722322248064
46,2020-03-08,2,2,148.2397148848279,10321.861161124032,False,47,122.68968164486185,20643.722322248064
47,2020-03-09,2,2,148.2397148848279,10321.861161124032,False,48,129.01370017111958,20643.722322248064
48,2020-03-10,2,2,148.2397148848279,10321.861161124032,False,49,135.6615342012207,20643.722322248064
49,2020-03-11,2,2,148.2397148848279,10321.861161124032,False,50,142.6495367193204,20643.722322248064
50,2020-03-12,2,2,148.2397148848279,10321.861161124032,False,51,149.99486250908248,20643.722322248064
51,2020-03-13,2,2,148.2397148848279,10321.861161124032,False,52,157.71550492126275,20643.722322248064
52,2020-03-14,2,2,148.2397148848279,10321.861161124032,False,53,165.83033405441037,20643.722322248064
53,2020-03-15,2,2,148.2397148848279,10321.861161124032,False,54,174.35913637246517,20643.722322248064
54,2020-03-16,4,4,148.2397148848279,10321.861161124032,False,55,183.32265577947487,20643.722322248064
55,2020-03-17,10,10,148.2397148848279,10321.861161124032,False,56,192.74263616748445,20643.722322248064
56,2020-03-18,10,10,148.2397148848279,10321.861161124032,False,57,202.6418654487942,20643.722322248064
57,2020-03-19,13,13,148.2397148848279,10321.861161124032,False,58,213.0442210781679,20643.722322248064
58,2020-03-20,20,20,148.2397148848279,10321.861161124032,False,59,223.9747170641273,20643.722322248064
59,2020-03-21,27,27,148.2397148848279,10321.861161124032,False,60,235.4595524610998,20643.722322248064
60,2020-03-22,40,40,148.2397148848279,10321.861161124032,False,61,247.52616132581417,20643.722322248064
61,2020-03-23,56,56,148.2397148848279,10321.861161124032,False,62,260.2032641118603,20643.722322248064
62,2020-03-24,66,66,148.2397148848279,10321.861161124032,False,63,273.5209204656458,20643.722322248064
63,2020-03-25,75,72,148.2397148848279,10321.861161124032,False,64,287.510583374984,20643.722322248064
64,2020-03-26,75,72,148.2397148848279,10321.861161124032,False,65,302.20515460812095,20643.722322248064
65,2020-03-27,91,87,148.2397148848279,10321.861161124032,False,66,317.6390413660339,20643.722322248064
66,2020-03-28,91,87,148.2397148848279,10321.861161124032,False,67,333.8482140541804,20643.722322248064
67,2020-03-29,139,128,148.2397148848279,10321.861161124032,False,68,350.8702650614186,20643.722322248064
68,2020-03-30,139,128,148.2397148848279,10321.861161124032,False,69,368.7444684134169,20643.722322248064
69,2020-03-31,193,182,148.2397148848279,10321.861161124032,False,70,387.5118401453835,20643.722322248064
70,2020-04-01,233,217,148.2397148848279,10321.861161124032,False,71,407.21519921423777,20643.722322248064
71,2020-04-02,306,289,148.2397148848279,10321.861161124032,False,72,427.8992287432597,20643.722322248064
72,2020-04-03,509,484,148.2397148848279,10321.861161124032,False,73,449.61053736266484,20643.722322248064
73,2020-04-04,555,529,148.2397148848279,10321.861161124032,False,74,472.39772037730404,20643.722322248064
74,2020-04-05,650,624,148.2397148848279,10321.861161124032,False,75,496.3114204576531,20643.722322248064
75,2020-04-06,658,632,148.2397148848279,10321.861161124032,False,76,521.404387512313,20643.722322248064
76,2020-04-07,658,606,148.2397148848279,10321.861161124032,False,77,547.7315373592618,20643.722322248064
77,2020-04-08,730,660,148.2397148848279,10321.861161124032,False,78,575.350008769,20643.722322248064
78,2020-04-09,730,660,148.2397148848279,10321.861161124032,False,79,604.3192184054174,20643.722322248064
79,2020-04-10,820,710,148.2397148848279,10321.861161124032,False,80,634.7009131396511,20643.722322248064
80,2020-04-11,820,710,148.2397148848279,10321.861161124032,False,81,666.5592191583661,20643.722322248064
81,2020-04-12,820,710,148.2397148848279,10321.861161124032,False,82,699.9606872307994,20643.722322248064
82,2020-04-13,820,710,148.2397148848279,10321.861161124032,False,83,734.9743334386438,20643.722322248064
83,2020-04-14,848,704,148.2397148848279,10321.861161124032,False,84,771.6716746095223,20643.722322248064
84,2020-04-15,848,666,148.2397148848279,10321.861161124032,False,85,810.12675762864,20643.722322248064
85,2020-04-16,996,810,148.2397148848279,10321.861161124032,False,86,850.4161817344196,20643.722322248064
86,2020-04-17,996,810,148.2397148848279,10321.861161124032,False,87,892.619112832976,20643.722322248064
87,2020-04-18,1017,818,148.2397148848279,10321.861161124032,False,88,936.8172887935243,20643.722322248064
88,2020-04-19,1017,670,148.2397148848279,10321.861161124032,False,89,983.095014612955,20643.722322248064
89,2020-04-20,1163,816,148.2397148848279,10321.861161124032,False,90,1031.5391462634107,20643.722322248064
90,2020-04-21,1163,791,148.2397148848279,10321.861161124032,False,91,1082.2390619627988,20643.722322248064
91,2020-04-22,1163,723,148.2397148848279,10321.861161124032,False,92,1135.2866195355991,20643.722322248064
92,2020-04-23,1334,623,148.2397148848279,10321.861161124032,False,93,1190.776098461455,20643.722322248064
93,2020-04-24,1430,719,148.2397148848279,10321.861161124032,False,94,1248.804125143074,20643.722322248064
94,2020-04-25,1518,768,148.2397148848279,10321.861161124032,False,95,1309.469579864678,20643.722322248064
95,2020-04-26,1621,779,148.2397148848279,10321.861161124032,False,96,1372.8734838592068,20643.722322248064
96,2020-04-27,1705,842,148.2397148848279,10321.861161124032,False,97,1439.1188648589623,20643.722322248064
97,2020-04-28,1705,732,148.2397148848279,10321.861161124032,False,98,1508.3105994723521,20643.722322248064
98,2020-04-29,1832,837,148.2397148848279,10321.861161124032,False,99,1580.5552307115595,20643.722322248064
99,2020-04-30,1832,837,148.2397148848279,10321.861161124032,False,100,1655.9607589948507,20643.722322248064
100,2020-05-01,1832,837,148.2397148848279,10321.861161124032,False,101,1734.6364049657566,20643.722322248064
101,2020-05-02,2077,1060,148.2397148848279,10321.861161124032,False,102,1816.6923425127313,20643.722322248064
102,2020-05-03,2077,1060,148.2397148848279,10321.861161124032,False,103,1902.239400440102,20643.722322248064
103,2020-05-04,2104,1087,148.2397148848279,10321.861161124032,False,104,1991.3887313378327,20643.722322248064
104,2020-05-05,2104,1087,148.2397148848279,10321.861161124032,False,105,2084.2514463269486,20643.722322248064
105,2020-05-06,2265,1157,148.2397148848279,10321.861161124032,False,106,2180.938214523118,20643.722322248064
106,2020-05-07,2267,1157,148.2397148848279,10321.861161124032,False,107,2281.558826265934,20643.722322248064
107,2020-05-08,2267,1157,148.2397148848279,10321.861161124032,False,108,2386.221719409293,20643.722322248064
108,2020-05-09,2274,934,148.2397148848279,10321.861161124032,False,109,2495.0334682615357,20643.722322248064
109,2020-05-10,2579,1000,148.2397148848279,10321.861161124032,False,110,2608.0982351054136,20643.722322248064
110,2020-05-11,2689,1040,148.2397148848279,10321.861161124032,False,111,2725.5171846190333,20643.722322248064
111,2020-05-12,2689,1040,148.2397148848279,10321.861161124032,False,112,2847.387861961205,20643.722322248064
112,2020-05-13,2800,1121,148.2397148848279,10321.861161124032,False,113,2973.8035357779436,20643.722322248064
113,2020-05-14,2954,1262,148.2397148848279,10321.861161124032,False,114,3104.852507930755,20643.722322248064
114,2020-05-15,3105,1398,148.2397148848279,10321.861161124032,False,115,3240.617392339478,20643.722322248064
115,2020-05-16,3105,1398,148.2397148848279,10321.861161124032,False,116,3381.1743659693016,20643.722322248064
116,2020-05-17,3105,1398,148.2397148848279,10321.861161124032,False,117,3526.592395668228,20643.722322248064
117,2020-05-18,3529,1822,148.2397148848279,10321.861161124032,False,118,3676.932445270405,20643.722322248064
118,2020-05-19,3529,1822,148.2397148848279,10321.861161124032,False,119,3832.246668114105,20643.722322248064
119,2020-05-20,3733,1992,148.2397148848279,10321.861161124032,False,120,3992.5775908693718,20643.722322248064
120,2020-05-21,4288,2324,148.2397148848279,10321.861161124032,False,121,4157.957295317377,20643.722322248064
121,2020-05-22,4400,2419,148.2397148848279,10321.861161124032,False,122,4328.406605455898,20643.722322248064
122,2020-05-23,4400,2419,148.2397148848279,10321.861161124032,False,123,4503.934288007159,20643.722322248064
123,2020-05-24,4890,2860,148.2397148848279,10321.861161124032,False,124,4684.536275056716,20643.722322248064
124,2020-05-25,4890,2860,148.2397148848279,10321.861161124032,False,125,4870.194918135907,20643.722322248064
125,2020-05-26,5436,3265,148.2397148848279,10321.861161124032,False,126,5060.878283554591,20643.722322248064
126,2020-05-27,5436,3265,148.2397148848279,10321.861161124032,False,127,5256.539499174591,20643.722322248064
127,2020-05-28,5436,3265,148.2397148848279,10321.861161124032,False,128,5457.116163065926,20643.722322248064
