,Report_Date,France_french polynesia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
61,2020-03-23,18,66.72015375994955,28.030608109333524,True,62,17.20714443754048,55.84842032505289
62,2020-03-24,25,66.72015375994955,28.030608109333524,True,63,19.330454813363538,55.84842032505289
63,2020-03-25,25,66.72015375994955,28.030608109333524,True,64,21.570317184531834,55.84842032505289
64,2020-03-26,30,66.72015375994955,28.030608109333524,True,65,23.900835194570156,55.84842032505289
65,2020-03-27,30,66.72015375994955,28.030608109333524,True,66,26.29121380409414,55.84842032505289
66,2020-03-28,30,66.72015375994955,28.030608109333524,True,67,28.70726151903673,55.84842032505289
67,2020-03-29,30,66.72015375994955,28.030608109333524,True,68,31.113291007762996,55.84842032505289
68,2020-03-30,36,66.72015375994955,28.030608109333524,True,69,33.47420155090663,55.84842032505289
69,2020-03-31,36,66.72015375994955,28.030608109333524,True,70,35.75748972797584,55.84842032505289
70,2020-04-01,37,66.72015375994955,28.030608109333524,True,71,37.93494947802877,55.84842032505289
71,2020-04-02,37,66.72015375994955,28.030608109333524,True,72,39.98388468167922,55.84842032505289
72,2020-04-03,39,66.72015375994955,28.030608109333524,True,73,41.88774838932806,55.84842032505289
73,2020-04-04,40,66.72015375994955,28.030608109333524,True,74,43.63621803374675,55.84842032505289
74,2020-04-05,41,66.72015375994955,28.030608109333524,True,75,45.22479329845226,55.84842032505289
75,2020-04-06,42,66.72015375994955,28.030608109333524,True,76,46.6540497653045,55.84842032505289
76,2020-04-07,47,66.72015375994955,28.030608109333524,True,77,47.92869493243388,55.84842032505289
77,2020-04-08,51,66.72015375994955,28.030608109333524,True,78,49.05656006685381,55.84842032505289
78,2020-04-09,51,66.72015375994955,28.030608109333524,True,79,50.04763211449074,55.84842032505289
79,2020-04-10,51,66.72015375994955,28.030608109333524,True,80,50.91319497204562,55.84842032505289
80,2020-04-11,51,66.72015375994955,28.030608109333524,True,81,51.66511666863187,55.84842032505289
81,2020-04-12,53,66.72015375994955,28.030608109333524,True,82,52.315292842771285,55.84842032505289
82,2020-04-13,55,66.72015375994955,28.030608109333524,True,83,52.87523878605966,55.84842032505289
83,2020-04-14,55,66.72015375994955,28.030608109333524,True,84,53.35581170938954,55.84842032505289
84,2020-04-15,55,66.72015375994955,28.030608109333524,True,85,53.76704021444654,55.84842032505289
85,2020-04-16,55,66.72015375994955,28.030608109333524,True,86,54.11803740711166,55.84842032505289
86,2020-04-17,55,66.72015375994955,28.030608109333524,True,87,54.41697603857744,55.84842032505289
87,2020-04-18,55,66.72015375994955,28.030608109333524,True,88,54.671107244850496,55.84842032505289
88,2020-04-19,55,66.72015375994955,28.030608109333524,True,89,54.886808013709945,55.84842032505289
