,Report_Date,Botswana_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
57,2020-03-19,0,92.90897179464135,17.76664119195803,False,58,1.833243280925854,0.15462241763255108
58,2020-03-20,0,92.90897179464135,17.76664119195803,False,59,1.98379070870576,0.15462241763255108
59,2020-03-21,0,92.90897179464135,17.76664119195803,False,60,2.1459139711722264,0.15462241763255108
60,2020-03-22,0,92.90897179464135,17.76664119195803,False,61,2.32037023102942,0.15462241763255108
61,2020-03-23,0,92.90897179464135,17.76664119195803,False,62,2.507943892526,0.15462241763255108
62,2020-03-24,0,92.90897179464135,17.76664119195803,False,63,2.709443627928888,0.15462241763255108
63,2020-03-25,0,92.90897179464135,17.76664119195803,False,64,2.9256985655826138,0.15462241763255108
64,2020-03-26,0,92.90897179464135,17.76664119195803,False,65,3.15755354432307,0.15462241763255108
65,2020-03-27,0,92.90897179464135,17.76664119195803,False,66,3.4058633414666266,0.15462241763255108
66,2020-03-28,0,92.90897179464135,17.76664119195803,False,67,3.6714857878888543,0.15462241763255108
67,2020-03-29,0,92.90897179464135,17.76664119195803,False,68,3.955273694690176,0.15462241763255108
68,2020-03-30,3,92.90897179464135,17.76664119195803,False,69,4.2580655324841175,0.15462241763255108
69,2020-03-31,4,92.90897179464135,17.76664119195803,False,70,4.58067482726703,0.15462241763255108
70,2020-04-01,4,92.90897179464135,17.76664119195803,False,71,4.923878266858896,0.15462241763255108
71,2020-04-02,4,92.90897179464135,17.76664119195803,False,72,5.28840254957087,0.15462241763255108
72,2020-04-03,4,92.90897179464135,17.76664119195803,False,73,5.674910052284616,0.15462241763255108
73,2020-04-04,4,92.90897179464135,17.76664119195803,False,74,6.083983448330642,0.15462241763255108
74,2020-04-05,6,92.90897179464135,17.76664119195803,False,75,6.516109465695686,0.15462241763255108
75,2020-04-06,6,92.90897179464135,17.76664119195803,False,76,6.971662041781859,0.15462241763255108
76,2020-04-07,6,92.90897179464135,17.76664119195803,False,77,7.45088520003369,0.15462241763255108
77,2020-04-08,6,92.90897179464135,17.76664119195803,False,78,7.953876043279457,0.15462241763255108
78,2020-04-09,13,92.90897179464135,17.76664119195803,False,79,8.480568324821341,0.15462241763255108
79,2020-04-10,13,92.90897179464135,17.76664119195803,False,80,9.030717116642485,0.15462241763255108
80,2020-04-11,13,92.90897179464135,17.76664119195803,False,81,9.603885139511469,0.15462241763255108
81,2020-04-12,13,92.90897179464135,17.76664119195803,False,82,10.199431346925895,0.15462241763255108
82,2020-04-13,13,92.90897179464135,17.76664119195803,False,83,10.81650235854613,0.15462241763255108
83,2020-04-14,13,92.90897179464135,17.76664119195803,False,84,11.454027314452022,0.15462241763255108
84,2020-04-15,13,92.90897179464135,17.76664119195803,False,85,12.11071666580087,0.15462241763255108
