,Report_Date,Azerbaijan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
78,2020-04-09,926,80.24799078406434,928.4073780348898,True,79,845.5152161342326,1753.7114603935684
79,2020-04-10,991,80.24799078406434,928.4073780348898,True,80,911.8934705869993,1753.7114603935684
80,2020-04-11,1058,80.24799078406434,928.4073780348898,True,81,978.4410410929673,1753.7114603935684
81,2020-04-12,1098,80.24799078406434,928.4073780348898,True,82,1044.4769408294705,1753.7114603935684
82,2020-04-13,1148,80.24799078406434,928.4073780348898,True,83,1109.34092443039,1753.7114603935684
83,2020-04-14,1197,80.24799078406434,928.4073780348898,True,84,1172.4193557727835,1753.7114603935684
84,2020-04-15,1253,80.24799078406434,928.4073780348898,True,85,1233.1672129565466,1753.7114603935684
85,2020-04-16,1283,80.24799078406434,928.4073780348898,True,86,1291.1246679133253,1753.7114603935684
86,2020-04-17,1340,80.24799078406434,928.4073780348898,True,87,1345.927387583715,1753.7114603935684
87,2020-04-18,1373,80.24799078406434,928.4073780348898,True,88,1397.3104499236372,1753.7114603935684
88,2020-04-19,1398,80.24799078406434,928.4073780348898,True,89,1445.1064253927138,1753.7114603935684
89,2020-04-20,1436,80.24799078406434,928.4073780348898,True,90,1489.2386547870324,1753.7114603935684
