,Report_Date,USA_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
90,2020-04-21,811865,88.21345847023733,725290.4353878055,True,91,826501.4466428306,1412291.8275635112
91,2020-04-22,840351,88.21345847023733,725290.4353878055,True,92,862069.1374154799,1412291.8275635112
92,2020-04-23,869170,88.21345847023733,725290.4353878055,True,93,896967.5410464626,1412291.8275635112
93,2020-04-24,905358,88.21345847023733,725290.4353878055,True,94,931043.6736768972,1412291.8275635112
94,2020-04-25,938154,88.21345847023733,725290.4353878055,True,95,964159.7877154767,1412291.8275635112
95,2020-04-26,965785,88.21345847023733,725290.4353878055,True,96,996195.2172027372,1412291.8275635112
96,2020-04-27,988197,88.21345847023733,725290.4353878055,True,97,1027047.6131680516,1412291.8275635112
97,2020-04-28,1012582,88.21345847023733,725290.4353878055,True,98,1056633.5708317081,1412291.8275635112
98,2020-04-29,1039909,88.21345847023733,725290.4353878055,True,99,1084888.6816289506,1412291.8275635112
99,2020-04-30,1069424,88.21345847023733,725290.4353878055,True,100,1111767.0683396258,1412291.8275635112
100,2020-05-01,1103461,88.21345847023733,725290.4353878055,True,101,1137240.4798873262,1412291.8275635112
101,2020-05-02,1132539,88.21345847023733,725290.4353878055,True,102,1161297.0332722182,1412291.8275635112
102,2020-05-03,1158040,88.21345847023733,725290.4353878055,True,103,1183939.69401185,1412291.8275635112
103,2020-05-04,1180375,88.21345847023733,725290.4353878055,True,104,1205184.5843315916,1412291.8275635112
104,2020-05-05,1204351,88.21345847023733,725290.4353878055,True,105,1225059.201461285,1412291.8275635112
105,2020-05-06,1229331,88.21345847023733,725290.4353878055,True,106,1243600.6181826242,1412291.8275635112
106,2020-05-07,1257023,88.21345847023733,725290.4353878055,True,107,1260853.7256198516,1412291.8275635112
107,2020-05-08,1283929,88.21345847023733,725290.4353878055,True,108,1276869.565398333,1412291.8275635112
108,2020-05-09,1309550,88.21345847023733,725290.4353878055,True,109,1291703.785698118,1412291.8275635112
109,2020-05-10,1329260,88.21345847023733,725290.4353878055,True,110,1305415.2441240763,1412291.8275635112
110,2020-05-11,1347881,88.21345847023733,725290.4353878055,True,111,1318064.770164912,1412291.8275635112
111,2020-05-12,1369376,88.21345847023733,725290.4353878055,True,112,1329714.0915586308,1412291.8275635112
112,2020-05-13,1390406,88.21345847023733,725290.4353878055,True,113,1340424.9221789252,1412291.8275635112
113,2020-05-14,1417774,88.21345847023733,725290.4353878055,True,114,1350258.204029168,1412291.8275635112
