,Report_Date,Guatemala_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
106,2020-05-07,832,719,148.55170413881228,12470.336856414173,False,107,957.9401021902008,24940.673712828357
107,2020-05-08,900,775,148.55170413881228,12470.336856414173,False,108,1031.9402589291637,24940.673712828357
108,2020-05-09,967,839,148.55170413881228,12470.336856414173,False,109,1111.3919641977416,24940.673712828357
109,2020-05-10,1052,916,148.55170413881228,12470.336856414173,False,110,1196.6546872600566,24940.673712828357
110,2020-05-11,1114,977,148.55170413881228,12470.336856414173,False,111,1288.1049326425357,24940.673712828357
111,2020-05-12,1199,1052,148.55170413881228,12470.336856414173,False,112,1386.1359577306316,24940.673712828357
112,2020-05-13,1342,1192,148.55170413881228,12470.336856414173,False,113,1491.1572688822048,24940.673712828357
113,2020-05-14,1518,1360,148.55170413881228,12470.336856414173,False,114,1603.5938617673955,24940.673712828357
114,2020-05-15,1643,1478,148.55170413881228,12470.336856414173,False,115,1723.8851693837819,24940.673712828357
115,2020-05-16,1763,1592,148.55170413881228,12470.336856414173,False,116,1852.4836793512877,24940.673712828357
116,2020-05-17,1763,1592,148.55170413881228,12470.336856414173,False,117,1989.8531808422404,24940.673712828357
117,2020-05-18,1912,1739,148.55170413881228,12470.336856414173,False,118,2136.466601055802,24940.673712828357
118,2020-05-19,2133,1935,148.55170413881228,12470.336856414173,False,119,2292.803391739341,24940.673712828357
119,2020-05-20,2265,2061,148.55170413881228,12470.336856414173,False,120,2459.3464281542324,24940.673712828357
120,2020-05-21,2512,2242,148.55170413881228,12470.336856414173,False,121,2636.578386361489,24940.673712828357
121,2020-05-22,2743,2470,148.55170413881228,12470.336856414173,False,122,2824.977570055851,24940.673712828357
122,2020-05-23,3054,2755,148.55170413881228,12470.336856414173,False,123,3025.0131656948,24940.673712828357
123,2020-05-24,3424,3108,148.55170413881228,12470.336856414173,False,124,3237.1399146192102,24940.673712828357
124,2020-05-25,3760,3427,148.55170413881228,12470.336856414173,False,125,3461.792203470116,24940.673712828357
125,2020-05-26,3954,3602,148.55170413881228,12470.336856414173,False,126,3699.377589623898,24940.673712828357
126,2020-05-27,4145,3584,148.55170413881228,12470.336856414173,False,127,3950.2697966461837,24940.673712828357
127,2020-05-28,4348,3703,148.55170413881228,12470.336856414173,False,128,4214.801235813473,24940.673712828357
